City,State,Air_quality,Temperature ,Rainfall,Domestic_visits,Govtapproved_hotels,Forest_percentage,Unemployement rate,fully_vaccinated_per
Port Blair,Andaman and Nicobar Islands,13,28,2805,0.03,0,,3.1,50.24
Chirala,Andhra Pradesh,142,28,2999.2,10.5,33,22.51,5.4,39
Guntur,Andhra Pradesh,152,29,871.5,10.5,33,22.51,5.4,39
Hindupur,Andhra Pradesh,83,25,1813.4,10.5,33,22.51,5.4,39
Kagaznagar,Andhra Pradesh,147,28,2010.7,10.5,33,22.51,5.4,39
Kakinada,Andhra Pradesh,154,30,3399.4,10.5,33,22.51,5.4,39
Kurnool,Andhra Pradesh,108,31,679.6,10.5,33,22.51,5.4,39
Machilipatnam,Andhra Pradesh,153,29,876.3,10.5,33,22.51,5.4,39
Nandyal,Andhra Pradesh,103,29,790.3,10.5,33,22.51,5.4,39
Nellore,Andhra Pradesh,76,26,1091.6,10.5,33,22.51,5.4,39
Ongole,Andhra Pradesh,122,29,945.2,10.5,33,22.51,5.4,39
Proddatur,Andhra Pradesh,93,29,1003.4,10.5,33,22.51,5.4,39
Rajahmundry,Andhra Pradesh,102,30,923.3,10.5,33,22.51,5.4,39
Tirupati,Andhra Pradesh,52,21,898.2,10.5,33,22.51,5.4,39
Visakhapatnam,Andhra Pradesh,163,28,1120.7,10.5,33,22.51,5.4,39
Vizianagaram,Andhra Pradesh,153,28,1140.4,10.5,33,22.51,5.4,39
Itanagar,Arunachal Pradesh,76,28,3801.4,0.03,3,93.03,4.2,35.19
Dibrugarh,Assam,78,30,2556.6,0.32,13,23.62,3.7,24.19
Dispur,Assam,97,28,2601.3,0.32,13,23.62,3.7,24.19
Guwahati,Assam,68,29,1813.4,0.32,13,23.62,3.7,24.19
Jorhat,Assam,76,30,2083,0.32,13,23.62,3.7,24.19
Silchar,Assam,76,26,2113.8,0.32,13,23.62,3.7,24.19
Tezpur,Assam,78,26,1945,0.32,13,23.62,3.7,24.19
Arrah,Bihar,154,26,1632.2,1.81,6,6.64,13.9,15.21
Bhagalpur,Bihar,154,27,1207.9,1.81,6,6.64,13.9,15.21
Gaya,Bihar,148,29,1003.9,1.81,6,6.64,13.9,15.21
Muzaffarpur,Bihar,164,26,1154.5,1.81,6,6.64,13.9,15.21
Patna,Bihar,153,26,1074.8,1.81,6,6.64,13.9,15.21
Purnia,Bihar,158,27,1598.2,1.81,6,6.64,13.9,15.21
Chandigarh,Chandigarh,136,28,1070.6,0.08,9,3.02,2.4,48.1
Bhilai,Chhattisgarh,152,29,1330.3,1.04,7,45.8,3.1,25.55
Bilaspur,Chhattisgarh,117,28,1229,1.04,7,45.8,3.1,25.55
Raipur,Chhattisgarh,152,29,1164.6,1.04,7,45.8,3.1,25.55
Silvassa,Dadra and Nagar Haveli,127,31,2374.1,0.03,1,41.63,1.3,30.49
Daman,Daman and Diu,151,29,2374.1,0.05,1,0,0.8,30.89
Diu,Daman and Diu,142,30,697.3,0.05,1,0,0.8,30.89
Delhi,Delhi,255,26,747.1,1.57,43,1,11,40.43
New Delhi,Delhi,351,26,747.1,1.57,43,1,11,40.43
Panaji,Goa,89,28,3085.6,0.38,46,34.75,11.7,58.96
Ahmedabad,Gujarat,164,31,639.9,2.93,63,9.62,2.4,41.85
Bhavnagar,Gujarat,120,29,679.9,2.93,63,9.62,2.4,41.85
Bhuj,Gujarat,20,32,388.8,2.93,63,9.62,2.4,41.85
Ghandinagar,Gujarat,159,30,752.7,2.93,63,9.62,2.4,41.85
Anand,Gujarat,108,31,834.6,2.93,63,9.62,2.4,41.85
Porbandar,Gujarat,110,31,716.6,2.93,63,9.62,2.4,41.85
Rajkot,Gujarat,99,33,579.1,2.93,63,9.62,2.4,41.85
Surat,Gujarat,153,32,1304.7,2.93,63,9.62,2.4,41.85
Vadodara,Gujarat,122,30,992.2,2.93,63,9.62,2.4,41.85
Ambala,Haryana,224,24,1104.7,0.26,144,0.86,30.7,29.27
Bhiwani,Haryana,298,26,419.5,0.26,144,0.86,30.7,29.27
Faridabad,Haryana,307,25,697.6,0.26,144,0.86,30.7,29.27
Gurugram,Haryana,321,25,544,0.26,144,0.86,30.7,29.27
Hisar,Haryana,304,26,577.8,0.26,144,0.86,30.7,29.27
Karnal,Haryana,164,24,760.1,0.26,144,0.86,30.7,29.27
Panchkula,Haryana,159,22,1148.2,0.26,144,0.86,30.7,29.27
Panipat,Haryana,191,24,624.1,0.26,144,0.86,30.7,29.27
Rohtak,Haryana,405,26,677.4,0.26,144,0.86,30.7,29.27
Sirsa,Haryana,185,26,313.5,0.26,144,0.86,30.7,29.27
Sonipat,Haryana,173,24,644.2,0.26,144,0.86,30.7,29.27
Shimla,Himachal Pradesh,83,8,1041.4,0.92,144,24.61,14.1,48.83
Baramula,Jammu and Kashmir,66,15,1132,0.92,27,56.65,22.2,41.18
Jammu,Jammu and Kashmir,93,24,1211.3,0.92,27,56.65,22.2,41.18
leh,Jammu and Kashmir,17,-3,84.6,0.92,27,56.65,22.2,41.18
Srinagar,Jammu and Kashmir,45,11,673.6,0.92,27,56.65,22.2,41.18
Kathua,Jammu and Kashmir,93,21,1268.2,0.92,27,56.65,22.2,41.18
Dhanbad,Jharkhand,154,22,1289.8,1.91,4,28.1,18.1,15.27
Jamshedpur,Jharkhand,147,28,1355.2,1.91,4,28.1,18.1,15.27
Ranchi,Jharkhand,122,22,1256.1,1.91,4,28.1,18.1,15.27
Jorapokhar,Jharkhand,155,23,1572.4,1.91,4,28.1,18.1,15.27
Belgaum,Karnataka,96,23,839.2,11.55,36,16.13,1.5,35
Bellary,Karnataka,97,26,622.8,11.55,36,16.13,1.5,35
Bengaluru,Karnataka,79,21,837,11.55,36,16.13,1.5,35
Bidar,Karnataka,91,23,890.7,11.55,36,16.13,1.5,35
Bijapur,Karnataka,87,29,656.4,11.55,36,16.13,1.5,35
Davangere,Karnataka,53,25,597,11.55,36,16.13,1.5,35
Gulbarga,Karnataka,97,26,820.6,11.55,36,16.13,1.5,35
Hospet,Karnataka,97,27,791.1,11.55,36,16.13,1.5,35
Hubli,Karnataka,109,29,967.1,11.55,36,16.13,1.5,35
Kolar,Karnataka,97,25,731.1,11.55,36,16.13,1.5,35
Mangalore,Karnataka,72,28,712.8,11.55,36,16.13,1.5,35
Mysore,Karnataka,77,28,758.6,11.55,36,16.13,1.5,35
Raichur,Karnataka,104,28,874.1,11.55,36,16.13,1.5,35
Shimoga,Karnataka,62,23,1827.9,11.55,36,16.13,1.5,35
Alappuzha,Kerala,53,27,2841.2,0.84,529,27.83,5.4,40.32
Calicut,Kerala,72,29,3384.1,0.84,529,27.83,5.4,40.32
Kochi,Kerala,101,28,3029.9,0.84,529,27.83,5.4,40.32
Kollam,Kerala,88,30,2491.7,0.84,529,27.83,5.4,40.32
Thiruvananthapuram,Kerala,80,29,1803.2,0.84,529,27.83,5.4,40.32
Kavaratti,Lakshadweep,42,28,1600,0,0,0,0.4,16.2
Bhopal,Madhya Pradesh,116,28,1087.7,4.53,13,28.27,1.9,25.23
Gwalior,Madhya Pradesh,258,24,885.9,4.53,13,28.27,1.9,25.23
Indore,Madhya Pradesh,81,28,917.3,4.53,13,28.27,1.9,25.23
Jabalpur,Madhya Pradesh,99,27,1192.4,4.53,13,28.27,1.9,25.23
Ratlam,Madhya Pradesh,86,23,947.8,4.53,13,28.27,1.9,25.23
